MasterFile,KABCO,County,RT_UNIQUE,Milepoint,Latitude,Longitude,MannerofCollision,CollisionDate,CollisionTime,CollisionYear,RdwyConditionCode,Weather,Human_Factors,Environmental_Factors,Vehicular_Factors,Mode
72619353,O,PIKE,098-CS-1222  -000,0.448,37.4777895,-82.52089184,SIDESWIPE-SAME DIRECTION,20210430,927,2021,DRY,CLEAR,,,,
72890101,O,PIKE,098-CS-1222  -000,0.457,37.47792709,-82.5208452,SIDESWIPE-SAME DIRECTION,20230421,815,2023,DRY,CLEAR,,,,
72674759,O,PIKE,098-CS-1222  -000,0.501,37.47835408,-82.52015764,ANGLE,20210921,930,2021,DRY,CLEAR,INATTENTION,,,
72782819,O,PIKE,098-CS-1222  -000,0.514,37.47858975,-82.52022842,REAR END,20220713,1333,2022,DRY,CLEAR,,,,
72942305,O,PIKE,098-CS-1222  -000,0.528,37.47875566,-82.5200936,OPPOSING LEFT TURN,20230831,1623,2023,DRY,CLEAR,,,,MOTORCYCLE
73266009,O,PIKE,098-CS-1222  -000,0.531,37.47879381,-82.52006861,REAR END,20251124,1254,2025,DRY,CLOUDY,INATTENTION,,,
72989113,O,PIKE,098-CS-1222  -000,0.556,37.47910544,-82.51985261,SIDESWIPE-SAME DIRECTION,20231221,1430,2023,DRY,CLEAR,,,,
72745386,O,PIKE,098-CS-1222  -000,0.619,37.47991434,-82.51930729,ANGLE,20220326,2037,2022,DRY,CLEAR,,,,
72832734,O,PIKE,098-CS-1222  -000,0.631,37.48008382,-82.51924459,BACKING,20221118,1316,2022,DRY,CLEAR,INATTENTION,,,
72736144,O,PIKE,098-CS-1222  -000,0.635,37.48012696,-82.51919813,SIDESWIPE-OPPOSITE DIRECTION,20220221,1743,2022,DRY,CLEAR,,,,
73245094,O,PIKE,098-CS-1222  -000,0.652,37.48039361,-82.51917341,ANGLE,20251009,1704,2025,DRY,CLEAR,,,,
73091895,O,PIKE,098-CS-1222  -000,0.66,37.48048123,-82.51904396,SIDESWIPE-SAME DIRECTION,20240919,1503,2024,DRY,CLEAR,,,,
72670182,O,PIKE,098-CS-1222  -000,0.66,37.48047012,-82.51905278,REAR END,20210913,1712,2021,DRY,CLEAR,INATTENTION,,,
